111001,4,6,7,23,36
111002,3,7,9,36,38
111003,2,5,11,27,30
111004,6,15,18,27,38
111005,1,16,22,35,39
111006,12,13,25,26,39
111007,2,4,18,30,39
111008,3,9,10,14,37
111009,2,11,17,20,36
111010,3,7,13,16,28
111011,1,5,26,28,39
111012,4,6,8,9,17
111013,14,21,27,32,33
111014,1,22,24,33,36
111015,1,16,19,26,38
111016,9,15,17,26,38
111017,3,31,33,35,38
111018,13,17,18,35,39
111019,6,27,29,32,38
111020,5,11,24,30,38
111021,8,19,20,24,37
111022,12,22,29,30,36
111023,3,9,24,34,35
111024,1,16,20,30,31
111025,8,12,18,23,38
111026,5,16,17,33,38
111027,17,20,22,38,39
111028,14,15,19,22,25
111029,9,12,25,35,39
111030,6,15,19,23,39
111031,1,2,12,19,34
111032,10,20,31,34,38
111033,8,11,19,23,34
111034,2,11,17,18,38
111035,12,14,35,37,38
111036,14,29,35,38,39
111037,4,7,11,21,22
111038,9,14,21,28,34
111039,5,9,15,29,33
111040,5,16,22,23,30
111041,4,7,15,32,37
111042,3,8,15,17,26
111043,23,27,31,34,35
111044,1,6,15,22,36
111045,8,13,23,25,37
111046,2,11,16,28,38
111047,10,11,28,30,33
111048,5,17,22,35,39
111049,13,17,24,34,35
111050,7,17,18,34,37
111051,10,15,17,28,32
111052,6,15,16,21,23
111053,5,11,16,24,27
111054,3,13,14,16,26
111055,10,12,18,30,34
111056,10,11,24,32,38
111057,9,10,11,25,35
111058,1,5,21,24,28
111059,12,14,19,33,34
111060,4,6,11,20,29
111061,7,10,14,17,20
111062,10,16,17,19,23
111063,2,4,7,30,38
111064,10,18,19,33,35
111065,18,19,26,34,37
111066,3,14,23,29,30
111067,2,10,25,26,35
111068,3,6,7,21,24
111069,9,27,29,34,35
111070,12,13,20,27,30
111071,1,12,13,19,31
111072,8,12,13,14,18
111073,3,12,22,33,39
111074,6,17,21,25,29
111075,3,16,26,27,36
111076,1,21,28,29,34
111077,5,8,12,17,19
111078,5,7,17,25,37
111079,3,13,23,26,32
111080,4,17,29,32,37
111081,7,9,31,37,39
111082,2,3,9,29,33
111083,3,7,25,36,37
111084,2,5,20,21,23
111085,2,20,26,27,37
111086,9,20,29,36,39
111087,19,23,32,34,36
111088,15,18,20,22,23
111089,11,13,17,18,29
111090,7,15,19,25,27
111091,6,7,13,20,30
111092,11,18,20,35,38
111093,10,24,25,29,32
111094,2,6,26,29,37
111095,1,5,15,19,36
111096,3,7,11,20,27
111097,10,23,26,33,39
111098,2,7,9,19,21
111099,8,20,21,25,38
111100,3,14,25,29,30
111101,10,14,16,24,36
111102,7,14,31,32,38
111103,4,13,29,32,37
111104,3,9,10,12,34
111105,8,12,14,22,28
111106,2,3,11,23,27
111107,9,18,29,31,33
111108,2,7,11,13,31
111109,1,4,14,37,38
111110,11,12,15,21,38
111111,4,10,14,19,20
111112,4,5,6,10,33
111113,3,9,22,33,37
111114,3,15,16,19,31
111115,1,12,19,22,31
111116,17,20,23,25,36
111117,24,27,31,34,37
111118,6,9,18,24,37
111119,5,15,22,35,36
111120,11,13,24,37,39
111121,1,15,24,27,36
111122,9,12,18,25,38
111123,1,9,11,14,30
111124,2,11,13,18,37
111125,9,15,27,28,30
111126,8,13,28,30,36
111127,7,23,28,30,35
111128,1,4,21,25,31
111129,3,4,12,21,22
111130,1,8,9,12,28
111131,5,22,25,27,34
111132,17,23,30,34,39
111133,7,10,32,34,37
111134,4,6,29,36,37
111135,16,17,18,19,21
111136,6,17,23,29,38
111137,1,4,12,33,34
111138,6,15,24,36,37
111139,4,9,13,32,33
111140,2,4,7,12,16
111141,1,3,13,26,27
111142,5,11,27,32,36
111143,2,6,11,13,19
111144,5,14,21,35,39
111145,7,17,19,28,29
111146,1,10,16,35,37
111147,1,16,23,31,39
111148,11,17,27,33,38
111149,4,12,19,20,33
111150,8,15,25,31,38
111151,1,8,12,31,38
111152,1,3,26,31,35
111153,8,11,17,21,38
111154,6,21,28,36,37
111155,8,10,16,24,34
111156,1,2,8,22,33
111157,3,11,20,21,28
111158,5,11,17,31,38
111159,13,16,21,22,26
111160,13,14,18,27,30
111161,9,14,18,23,35
111162,1,20,25,30,39
111163,8,12,21,24,38
111164,7,15,16,19,37
111165,1,3,5,27,31
111166,4,14,27,34,35
111167,5,16,21,25,26
111168,3,22,24,33,36
111169,10,14,25,30,35
111170,4,10,22,32,35
111171,2,11,16,25,38
111172,4,8,16,29,34
111173,4,10,12,26,36
111174,9,11,24,26,28
111175,5,27,32,33,38
111176,24,25,35,36,37
111177,2,13,19,25,29
111178,4,5,14,29,30
111179,4,9,25,28,34
111180,3,29,34,38,39
111181,5,7,12,34,38
111182,2,3,8,18,27
111183,6,11,18,22,26
111184,15,19,26,29,34
111185,2,26,28,32,37
111186,7,9,12,16,21
111187,6,11,18,21,35
111188,17,19,33,34,39
111189,9,11,31,36,39
111190,3,8,16,23,36
111191,8,9,16,21,29
111192,1,6,13,24,36
111193,2,17,22,35,36
111194,3,11,13,14,17
111195,7,10,19,26,34
111196,16,21,26,30,36
111197,4,15,20,35,36
111198,26,28,31,37,39
111199,11,13,29,31,35
111200,6,13,14,25,38
111201,5,8,12,15,24
111202,4,7,26,33,34
111203,3,10,25,28,36
111204,12,23,25,28,34
111205,12,17,19,26,36
111206,16,19,23,33,37
111207,8,29,32,36,38
111208,15,17,21,25,36
111209,2,6,8,15,17
111210,2,19,24,25,38
111211,9,10,20,27,39
111212,7,10,16,20,21
111213,4,11,17,26,36
111214,4,8,10,27,35
111215,5,14,17,34,36
111216,20,22,28,36,37
111217,6,8,25,35,37
111218,6,14,24,37,38
111219,13,14,20,33,35
111220,8,16,22,27,29
111221,4,5,18,30,35
111222,10,15,28,33,36
111223,10,18,19,25,29
111224,4,12,15,17,19
111225,7,9,11,16,39
111226,1,14,23,24,39
111227,10,14,20,24,31
111228,1,12,25,38,39
111229,17,28,34,35,38
111230,2,7,10,11,23
111231,3,27,36,37,39
111232,7,14,28,31,38
111233,3,17,22,23,25
111234,18,21,25,33,35
111235,3,5,14,15,25
111236,24,29,31,32,37
111237,6,12,17,31,35
111238,1,7,20,22,37
111239,10,11,13,22,38
111240,2,8,12,29,36
111241,6,18,21,23,35
111242,1,8,13,21,34
111243,4,7,10,15,39
111244,1,8,10,14,20
111245,9,12,15,23,29
111246,1,6,12,22,24
111247,7,8,23,30,36
111248,2,5,16,21,39
111249,7,14,16,25,27
111250,1,4,5,11,12
111251,3,4,6,11,36
111252,3,8,24,28,35
111253,1,3,7,10,23
111254,9,17,33,35,36
111255,9,19,20,22,26
111256,5,9,13,18,39
111257,9,22,29,30,39
111258,1,18,22,28,36
111259,8,16,20,25,34
111260,9,21,23,24,27
111261,14,17,18,26,33
111262,4,13,18,24,34
111263,3,18,27,31,35
111264,2,3,10,22,31
111265,1,6,17,28,32
111266,11,12,19,28,37
111267,3,14,16,19,22
111268,4,8,20,30,35
111269,13,19,23,27,31
111270,2,4,12,21,22
111271,5,13,19,31,33
111272,5,19,27,35,36
111273,2,4,15,18,33
111274,1,6,7,15,35
111275,3,13,22,27,30
111276,1,4,5,7,9
111277,17,21,22,31,35
